超级碗,年份,城市,场馆,公交站数量,电车/地铁站数量
Super Bowl L,2016,"Santa Clara, CA",Levi’s Stadium,5,3
Super Bowl LIII,2019,"Atlanta, GA",Mercedes-Benz Stadium,3,2
Super Bowl LVI,2022,"Inglewood, CA",SoFi Stadium,5,2
Super Bowl LVII,2023,"Glendale, AZ",State Farm Stadium,3,1
Super Bowl LVIII,2024,"Las Vegas, NV",Allegiant Stadium,2,0
Super Bowl LIX,2025,"New Orleans, LA",Caesars Superdome,6,1
Super Bowl LX,2026,"Santa Clara, CA",Levi’s Stadium,5,3
Super Bowl LXI,2027,"Inglewood, CA",SoFi Stadium,5,2
Super Bowl LXII,2028,"Atlanta, GA",Mercedes-Benz Stadium,3,2
Super Bowl LXIII,2029,To be determined,N/A,N/A,N/A
