超级碗,年份,城市,总废弃物量,总观众人数,分类回收率
Super Bowl L,2016,"Santa Clara, CA",155 t,75000,75%
Super Bowl LIII,2019,"Atlanta, GA",80 t,71000,90%
Super Bowl LVI,2022,"Inglewood, CA",70 t,70000,90%
Super Bowl LVII,2023,"Glendale, AZ",81 t,73000,92%
Super Bowl LVIII,2024,"Las Vegas, NV",77 t,65000,90%
Super Bowl LIX,2025,"New Orleans, LA",87 t,73200,91%
Super Bowl LX,2026,"Santa Clara, CA",N/A,75000,N/A
Super Bowl LXI,2027,"Inglewood, CA",N/A,70000,N/A
Super Bowl LXII,2028,"Atlanta, GA",N/A,71000,N/A
Super Bowl LXIII,2029,To be determined,N/A,N/A,N/A
